Source,Target,Type,Weight
0,295,Directed,1.2
0,148,Directed,1.2
0,253,Directed,1.2
0,493,Directed,1.2
0,282,Directed,1.2
4,227,Directed,1.2
4,91,Directed,1.2
4,422,Directed,1.2
5,361,Directed,1.2
5,143,Directed,1.2
10,263,Directed,1.2
10,123,Directed,1.2
10,427,Directed,1.2
10,309,Directed,1.2
11,24,Directed,1.2
11,326,Directed,1.2
11,138,Directed,1.2
18,332,Directed,1.2
18,99,Directed,1.2
18,302,Directed,1.2
20,124,Directed,1.2
20,401,Directed,1.2
20,72,Directed,1.2
24,235,Directed,1.2
24,16,Directed,1.2
24,34,Directed,1.2
24,33,Directed,1.2
24,49,Directed,1.2
25,93,Directed,1.2
25,409,Directed,1.2
25,102,Directed,1.2
26,242,Directed,1.2
26,359,Directed,1.2
26,410,Directed,1.2
27,135,Directed,1.2
27,391,Directed,1.2
27,70,Directed,1.2
30,220,Directed,1.2
31,40,Directed,1.2
31,457,Directed,1.2
31,130,Directed,1.2
31,445,Directed,1.2
31,113,Directed,1.2
32,483,Directed,1.2
32,172,Directed,1.2
32,222,Directed,1.2
37,469,Directed,1.2
40,90,Directed,1.2
40,344,Directed,1.2
41,313,Directed,1.2
43,286,Directed,1.2
43,248,Directed,1.2
43,468,Directed,1.2
43,136,Directed,1.2
45,117,Directed,1.2
45,492,Directed,1.2
45,408,Directed,1.2
45,455,Directed,1.2
45,22,Directed,1.2
46,451,Directed,1.2
46,156,Directed,1.2
47,341,Directed,1.2
47,142,Directed,1.2
47,241,Directed,1.2
50,58,Directed,1.2
53,234,Directed,1.2
53,303,Directed,1.2
53,237,Directed,1.2
55,19,Directed,1.2
56,219,Directed,1.2
58,141,Directed,1.2
58,118,Directed,1.2
60,298,Directed,1.2
60,425,Directed,1.2
62,109,Directed,1.2
64,44,Directed,1.2
69,436,Directed,1.2
71,271,Directed,1.2
71,284,Directed,1.2
71,257,Directed,1.2
71,345,Directed,1.2
72,465,Directed,1.2
73,144,Directed,1.2
76,177,Directed,1.2
76,297,Directed,1.2
76,306,Directed,1.2
76,197,Directed,1.2
76,324,Directed,1.2
77,12,Directed,1.2
77,426,Directed,1.2
77,164,Directed,1.2
77,146,Directed,1.2
77,28,Directed,1.2
82,167,Directed,1.2
82,438,Directed,1.2
82,157,Directed,1.2
82,461,Directed,1.2
82,473,Directed,1.2
87,287,Directed,1.2
92,460,Directed,1.2
92,64,Directed,1.2
92,251,Directed,1.2
92,329,Directed,1.2
96,147,Directed,1.2
96,83,Directed,1.2
99,369,Directed,1.2
99,480,Directed,1.2
100,352,Directed,1.2
104,293,Directed,1.2
104,470,Directed,1.2
104,377,Directed,1.2
104,210,Directed,1.2
105,394,Directed,1.2
105,417,Directed,1.2
105,490,Directed,1.2
105,71,Directed,1.2
105,300,Directed,1.2
108,42,Directed,1.2
108,236,Directed,1.2
108,437,Directed,1.2
110,193,Directed,1.2
116,378,Directed,1.2
118,447,Directed,1.2
118,353,Directed,1.2
119,372,Directed,1.2
119,500,Directed,1.2
119,41,Directed,1.2
119,80,Directed,1.2
119,111,Directed,1.2
124,433,Directed,1.2
125,444,Directed,1.2
125,132,Directed,1.2
127,325,Directed,1.2
131,379,Directed,1.2
135,432,Directed,1.2
135,17,Directed,1.2
141,280,Directed,1.2
141,88,Directed,1.2
141,107,Directed,1.2
141,180,Directed,1.2
141,453,Directed,1.2
142,159,Directed,1.2
144,368,Directed,1.2
144,431,Directed,1.2
144,181,Directed,1.2
144,466,Directed,1.2
145,60,Directed,1.2
145,496,Directed,1.2
145,380,Directed,1.2
148,151,Directed,1.2
148,310,Directed,1.2
148,37,Directed,1.2
148,207,Directed,1.2
148,27,Directed,1.2
151,152,Directed,1.2
151,414,Directed,1.2
151,20,Directed,1.2
151,256,Directed,1.2
152,18,Directed,1.2
152,389,Directed,1.2
153,171,Directed,1.2
158,54,Directed,1.2
158,75,Directed,1.2
158,478,Directed,1.2
158,476,Directed,1.2
158,203,Directed,1.2
159,404,Directed,1.2
159,358,Directed,1.2
161,382,Directed,1.2
161,294,Directed,1.2
161,254,Directed,1.2
161,342,Directed,1.2
161,304,Directed,1.2
163,321,Directed,1.2
163,214,Directed,1.2
163,158,Directed,1.2
163,274,Directed,1.2
163,261,Directed,1.2
164,307,Directed,1.2
165,362,Directed,1.2
165,133,Directed,1.2
165,32,Directed,1.2
165,96,Directed,1.2
165,56,Directed,1.2
168,86,Directed,1.2
169,76,Directed,1.2
169,494,Directed,1.2
169,194,Directed,1.2
169,267,Directed,1.2
169,160,Directed,1.2
171,450,Directed,1.2
174,296,Directed,1.2
174,334,Directed,1.2
175,259,Directed,1.2
175,39,Directed,1.2
175,85,Directed,1.2
177,398,Directed,1.2
177,343,Directed,1.2
177,209,Directed,1.2
177,128,Directed,1.2
177,245,Directed,1.2
181,498,Directed,1.2
185,221,Directed,1.2
185,36,Directed,1.2
186,79,Directed,1.2
187,240,Directed,1.2
190,69,Directed,1.2
192,347,Directed,1.2
192,315,Directed,1.2
192,471,Directed,1.2
192,322,Directed,1.2
192,212,Directed,1.2
193,421,Directed,1.2
193,269,Directed,1.2
193,48,Directed,1.2
193,420,Directed,1.2
193,434,Directed,1.2
194,305,Directed,1.2
194,211,Directed,1.2
196,440,Directed,1.2
201,356,Directed,1.2
201,67,Directed,1.2
201,463,Directed,1.2
201,276,Directed,1.2
201,406,Directed,1.2
204,59,Directed,1.2
207,374,Directed,1.2
207,145,Directed,1.2
210,397,Directed,1.2
211,10,Directed,1.2
213,357,Directed,1.2
213,316,Directed,1.2
213,218,Directed,1.2
213,452,Directed,1.2
215,206,Directed,1.2
217,45,Directed,1.2
217,89,Directed,1.2
217,449,Directed,1.2
217,268,Directed,1.2
217,484,Directed,1.2
218,472,Directed,1.2
218,351,Directed,1.2
218,386,Directed,1.2
219,407,Directed,1.2
219,106,Directed,1.2
219,333,Directed,1.2
222,403,Directed,1.2
222,482,Directed,1.2
223,62,Directed,1.2
225,185,Directed,1.2
227,231,Directed,1.2
227,439,Directed,1.2
229,170,Directed,1.2
229,189,Directed,1.2
230,354,Directed,1.2
232,225,Directed,1.2
232,314,Directed,1.2
238,299,Directed,1.2
244,381,Directed,1.2
244,155,Directed,1.2
244,137,Directed,1.2
244,29,Directed,1.2
244,428,Directed,1.2
247,387,Directed,1.2
249,339,Directed,1.2
249,232,Directed,1.2
249,270,Directed,1.2
249,9,Directed,1.2
249,348,Directed,1.2
251,223,Directed,1.2
252,38,Directed,1.2
252,495,Directed,1.2
253,249,Directed,1.2
253,105,Directed,1.2
253,201,Directed,1.2
253,104,Directed,1.2
253,244,Directed,1.2
254,418,Directed,1.2
259,340,Directed,1.2
263,413,Directed,1.2
264,6,Directed,1.2
264,3,Directed,1.2
268,150,Directed,1.2
270,419,Directed,1.2
270,31,Directed,1.2
270,186,Directed,1.2
270,1,Directed,1.2
270,63,Directed,1.2
271,190,Directed,1.2
272,371,Directed,1.2
277,272,Directed,1.2
277,454,Directed,1.2
278,285,Directed,1.2
278,370,Directed,1.2
278,258,Directed,1.2
278,481,Directed,1.2
278,14,Directed,1.2
282,23,Directed,1.2
282,479,Directed,1.2
282,213,Directed,1.2
282,50,Directed,1.2
282,384,Directed,1.2
290,66,Directed,1.2
294,278,Directed,1.2
294,400,Directed,1.2
294,226,Directed,1.2
294,290,Directed,1.2
294,53,Directed,1.2
295,489,Directed,1.2
295,308,Directed,1.2
295,82,Directed,1.2
295,477,Directed,1.2
295,217,Directed,1.2
296,474,Directed,1.2
296,196,Directed,1.2
297,312,Directed,1.2
297,8,Directed,1.2
297,499,Directed,1.2
300,331,Directed,1.2
300,475,Directed,1.2
300,486,Directed,1.2
301,441,Directed,1.2
304,78,Directed,1.2
304,184,Directed,1.2
305,108,Directed,1.2
308,337,Directed,1.2
308,97,Directed,1.2
308,366,Directed,1.2
308,318,Directed,1.2
308,73,Directed,1.2
310,161,Directed,1.2
310,230,Directed,1.2
310,110,Directed,1.2
310,497,Directed,1.2
310,250,Directed,1.2
320,216,Directed,1.2
320,35,Directed,1.2
326,292,Directed,1.2
326,162,Directed,1.2
336,365,Directed,1.2
337,491,Directed,1.2
337,208,Directed,1.2
338,464,Directed,1.2
338,61,Directed,1.2
338,179,Directed,1.2
338,176,Directed,1.2
338,126,Directed,1.2
339,165,Directed,1.2
339,443,Directed,1.2
339,153,Directed,1.2
339,4,Directed,1.2
339,11,Directed,1.2
340,115,Directed,1.2
341,355,Directed,1.2
341,423,Directed,1.2
342,363,Directed,1.2
342,178,Directed,1.2
343,238,Directed,1.2
343,265,Directed,1.2
347,120,Directed,1.2
347,233,Directed,1.2
347,200,Directed,1.2
354,487,Directed,1.2
355,429,Directed,1.2
355,328,Directed,1.2
355,456,Directed,1.2
355,488,Directed,1.2
355,65,Directed,1.2
358,13,Directed,1.2
358,446,Directed,1.2
359,264,Directed,1.2
359,187,Directed,1.2
362,279,Directed,1.2
368,195,Directed,1.2
369,101,Directed,1.2
369,262,Directed,1.2
370,416,Directed,1.2
373,119,Directed,1.2
373,7,Directed,1.2
373,204,Directed,1.2
373,46,Directed,1.2
374,247,Directed,1.2
374,364,Directed,1.2
374,229,Directed,1.2
381,215,Directed,1.2
381,291,Directed,1.2
381,30,Directed,1.2
382,239,Directed,1.2
382,392,Directed,1.2
382,116,Directed,1.2
382,173,Directed,1.2
382,320,Directed,1.2
383,202,Directed,1.2
383,323,Directed,1.2
383,166,Directed,1.2
383,246,Directed,1.2
385,168,Directed,1.2
385,346,Directed,1.2
385,182,Directed,1.2
386,396,Directed,1.2
388,415,Directed,1.2
388,260,Directed,1.2
388,281,Directed,1.2
391,448,Directed,1.2
392,228,Directed,1.2
393,424,Directed,1.2
393,100,Directed,1.2
393,121,Directed,1.2
394,399,Directed,1.2
394,319,Directed,1.2
394,163,Directed,1.2
394,338,Directed,1.2
398,98,Directed,1.2
399,402,Directed,1.2
399,129,Directed,1.2
400,94,Directed,1.2
400,405,Directed,1.2
400,327,Directed,1.2
400,112,Directed,1.2
401,74,Directed,1.2
401,430,Directed,1.2
403,243,Directed,1.2
403,134,Directed,1.2
408,205,Directed,1.2
408,373,Directed,1.2
408,5,Directed,1.2
414,459,Directed,1.2
414,283,Directed,1.2
417,43,Directed,1.2
417,175,Directed,1.2
417,277,Directed,1.2
417,139,Directed,1.2
417,375,Directed,1.2
419,198,Directed,1.2
421,311,Directed,1.2
424,273,Directed,1.2
428,87,Directed,1.2
431,103,Directed,1.2
431,154,Directed,1.2
432,275,Directed,1.2
432,350,Directed,1.2
432,57,Directed,1.2
432,462,Directed,1.2
432,127,Directed,1.2
433,288,Directed,1.2
441,395,Directed,1.2
442,95,Directed,1.2
442,2,Directed,1.2
443,131,Directed,1.2
443,266,Directed,1.2
446,224,Directed,1.2
446,458,Directed,1.2
446,360,Directed,1.2
446,183,Directed,1.2
457,199,Directed,1.2
457,367,Directed,1.2
459,442,Directed,1.2
459,125,Directed,1.2
460,336,Directed,1.2
460,349,Directed,1.2
460,77,Directed,1.2
460,289,Directed,1.2
472,335,Directed,1.2
474,25,Directed,1.2
474,192,Directed,1.2
474,388,Directed,1.2
475,330,Directed,1.2
475,390,Directed,1.2
475,140,Directed,1.2
477,149,Directed,1.2
477,411,Directed,1.2
479,52,Directed,1.2
484,55,Directed,1.2
484,301,Directed,1.2
485,21,Directed,1.2
486,84,Directed,1.2
486,435,Directed,1.2
486,122,Directed,1.2
486,51,Directed,1.2
489,15,Directed,1.2
489,92,Directed,1.2
489,26,Directed,1.2
489,47,Directed,1.2
489,376,Directed,1.2
490,317,Directed,1.2
490,81,Directed,1.2
490,114,Directed,1.2
491,383,Directed,1.2
492,485,Directed,1.2
492,412,Directed,1.2
493,169,Directed,1.2
493,393,Directed,1.2
493,174,Directed,1.2
493,188,Directed,1.2
493,385,Directed,1.2
496,467,Directed,1.2
497,252,Directed,1.2
497,68,Directed,1.2
497,191,Directed,1.2
497,255,Directed,1.2
